Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Fraction 15	Fraction 16	Fraction 17	Fraction 18	Q-value	Score	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity not corrected 0	Reporter intensity not corrected 1	Reporter intensity not corrected 2	Reporter intensity not corrected 3	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Intensity	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A4D1S0	A4D1S0	2	2	2	Killer cell lectin-like receptor subfamily G member 2	KLRG2	>sp|A4D1S0|KLRG2_HUMAN Killer cell lectin-like receptor subfamily G member 2 OS=Homo sapiens GN=KLRG2 PE=1 SV=3	1	2	2	2	6.6	6.6	6.6	42.85	409	409	10						1								1					0.00041745	3.6112	0	0	0	0	0	0	0	0	0	0	0	0	75319000	2				16	1171;36431	True;True	1218;38312	1906;58850	1980;60393	1980;60393		
A4UGR9	A4UGR9	2	2	2	Xin actin-binding repeat-containing protein 2	XIRP2	>sp|A4UGR9|XIRP2_HUMAN Xin actin-binding repeat-containing protein 2 OS=Homo sapiens GN=XIRP2 PE=1 SV=2	1	2	2	2	0.4	0.4	0.4	382.3	3374	3374	13.5												1			1				0.00059856	2.8482	9710.6	12046	10877	11784	9710.6	12046	10877	11784	2	2	2	2	105240000	2				17	22692;23873	True;True	23680;24938	36631;38502	37589;39500	37589;39500		
A5D8V6	A5D8V6	1	1	1	Vacuolar protein sorting-associated protein 37C	VPS37C	>sp|A5D8V6|VP37C_HUMAN Vacuolar protein sorting-associated protein 37C OS=Homo sapiens GN=VPS37C PE=1 SV=2	1	1	1	1	3.4	3.4	3.4	38.658	355	355	5					1														0.00020951	3.7195	15347	14824	14050	16576	15347	14824	14050	16576	1	1	1	1	38341000	1				18	25535	True	26872	41522	42593	42593		
A5PLL7	A5PLL7	2	2	2	Transmembrane protein 189	TMEM189	>sp|A5PLL7|TM189_HUMAN Transmembrane protein 189 OS=Homo sapiens GN=TMEM189 PE=1 SV=3	1	2	2	2	8.9	8.9	8.9	31.135	270	270	10.5									1			1							0	23.933	5291.8	3170.6	3243.6	3071.4	5291.8	3170.6	3243.6	3071.4	1	1	1	1	108910000	2				19	29115;38229	True;True	30608;40191	47028;61741	48195;63370	48195;63370		
A5PLN9	A5PLN9	2	2	2	Trafficking protein particle complex subunit 13	TRAPPC13	>sp|A5PLN9|TPC13_HUMAN Trafficking protein particle complex subunit 13 OS=Homo sapiens GN=TRAPPC13 PE=1 SV=2	1	2	2	2	4.1	4.1	4.1	46.523	417	417	14.5														1	1				0.00041554	3.5339	2765.3	3618.8	2733.4	3341.9	2765.3	3618.8	2733.4	3341.9	1	1	1	1	90911000	2				20	595;22952	True;True	618;23951	971;37025	1006;37998	1006;37998		
A5YKK6	A5YKK6	19	19	19	CCR4-NOT transcription complex subunit 1	CNOT1	>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	1	19	19	19	8.9	8.9	8.9	266.94	2376	2376	9.73	2	1		2			3		1	4	2			2	1	2	1	1	0	90.498	62507	63946	60454	72008	62507	63946	60454	72008	13	13	13	13	1641300000	22				21	1215;3695;4318;8073;8506;12572;13168;14811;16948;17424;19422;22071;24673;25495;26433;26871;27576;28020;35474	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1265;3860;4521;8425;8887;13131;13754;15476;17717;18213;20284;23040;25953;26831;27828;28281;29016;29484;37306	1982;5982;5983;6955;6956;13004;13686;20236;21182;21183;24158;27796;28527;31540;35719;40099;41457;43001;43703;44740;45403;57235	2069;6166;6167;7159;7160;13378;14073;20782;21744;21745;24822;28589;29332;32386;36664;41123;42528;44120;44835;45882;46550;58731	2069;6167;7160;13378;14073;20782;21745;24822;28589;29332;32386;36664;41123;42528;44120;44835;45882;46550;58731		
Q9GZQ8;A6NCE7	Q9GZQ8;A6NCE7	1;1	1;1	1;1	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2	>sp|Q9GZQ8|MLP3B_HUMAN Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens GN=MAP1LC3B PE=1 SV=3;>sp|A6NCE7|MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1	2	1	1	1	11.2	11.2	11.2	14.688	125	125;125	16																1			0	5.058	0	0	0	0	0	0	0	0	0	0	0	0	101080000	1				22	10462	True	10924	16781	17239	17239		
A6NDG6	A6NDG6	3	3	3	Phosphoglycolate phosphatase	PGP	>sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	1	3	3	3	10.6	10.6	10.6	34.006	321	321	4.83			1	1	2	2													0	39.805	24741	35993	34137	35110	24741	35993	34137	35110	3	3	3	3	1084700000	6				23	10114;19230;26714	True;True;True	10562;20081;28114	16216;16217;16218;31186;31187;43439	16657;16658;16659;32023;32024;44565	16659;32023;44565		
A6NDR6;A8K0S8;Q99687;O00470;O14770	A6NDR6;A8K0S8;Q99687;O00470;O14770	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Putative homeobox protein Meis3-like 1;Putative homeobox protein Meis3-like 2;Homeobox protein Meis3;Homeobox protein Meis1;Homeobox protein Meis2	MEIS3P1;MEIS3P2;MEIS3;MEIS1;MEIS2	>sp|A6NDR6|ME3L1_HUMAN Putative homeobox protein Meis3-like 1 OS=Homo sapiens GN=MEIS3P1 PE=5 SV=2;>sp|A8K0S8|ME3L2_HUMAN Putative homeobox protein Meis3-like 2 OS=Homo sapiens GN=MEIS3P2 PE=2 SV=1;>sp|Q99687|MEIS3_HUMAN Homeobox protein Meis3 OS=Homo sapi	5	1	1	1	2.9	2.9	2.9	30.204	274	274;358;375;390;477	12												1							0.0048121	1.8031	2820.8	1968.6	1731.9	2046.7	2820.8	1968.6	1731.9	2046.7	1	1	1	1	26912000	1				24	10058	True	10503	16126	16566	16566		
A6NDU8	A6NDU8	2	2	2	UPF0600 protein C5orf51	C5orf51	>sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1	1	2	2	2	7.1	7.1	7.1	33.62	294	294	13											1				1				0	4.5374	2191	4483.7	3628.3	3883.5	2191	4483.7	3628.3	3883.5	1	1	1	1	136070000	2				25	7963;8441	True;True	8310;8820	12827;13596	13196;13983	13196;13983		
A6NED2	A6NED2	3	3	3	RCC1 domain-containing protein 1	RCCD1	>sp|A6NED2|RCCD1_HUMAN RCC1 domain-containing protein 1 OS=Homo sapiens GN=RCCD1 PE=1 SV=1	1	3	3	3	14.6	14.6	14.6	40.078	376	376	6.33				2							1								0	8.2408	3283.8	4472	3803	4991.2	3283.8	4472	3803	4991.2	2	2	2	2	51864000	3				26	2597;33182;33198	True;True;True	2719;34881;34897	4252;53461;53487	4382;54831;54857	4382;54831;54857		
A6NGH7	A6NGH7	1	1	1	Coiled-coil domain-containing protein 160	CCDC160	>sp|A6NGH7|CC160_HUMAN Coiled-coil domain-containing protein 160 OS=Homo sapiens GN=CCDC160 PE=3 SV=3	1	1	1	1	2.2	2.2	2.2	38.276	325	325	17																	1		0.0039026	1.8553	20928	22528	32972	24924	20928	22528	32972	24924	1	1	1	1	130740000	1				27	1892	True	1970	3098	3198	3198		
A6NGU5;P19440;Q14390;B5MD39;P36268	A6NGU5;P19440;Q14390;B5MD39;P36268	3;3;2;2;2	3;3;2;2;2	3;3;2;2;2	Putative gamma-glutamyltranspeptidase 3;Putative gamma-glutamyltranspeptidase 3 heavy chain;Putative gamma-glutamyltranspeptidase 3 light chain;Gamma-glutamyltranspeptidase 1;Gamma-glutamyltranspeptidase 1 heavy chain;Gamma-glutamyltranspeptidase 1 light chain;Gamma-glutamyltransferase light chain 2;Putative gamma-glutamyltransferase light chain 3;Inactive gamma-glutamyltranspeptidase 2	GGT3P;GGT1;GGTLC2;GGTLC3;GGT2	>sp|A6NGU5|GGT3_HUMAN Putative gamma-glutamyltranspeptidase 3 OS=Homo sapiens GN=GGT3P PE=5 SV=2;>sp|P19440|GGT1_HUMAN Gamma-glutamyltranspeptidase 1 OS=Homo sapiens GN=GGT1 PE=1 SV=2;>sp|Q14390|GGTL2_HUMAN Gamma-glutamyltransferase light chain 2 OS=Homo s	5	3	3	3	5.8	5.8	5.8	61.501	568	568;569;218;225;569	2.67	1		1	1															0	11.892	1571.8	1688.5	1418.4	1419.8	1571.8	1688.5	1418.4	1419.8	1	1	1	1	197690000	3				28	13805;25252;32576	True;True;True	14412;26577;34239	22190;41063;52428	22786;42129;53772	22786;42129;53772		
A6NHL2	A6NHL2	5	1	1	Tubulin alpha chain-like 3	TUBAL3	>sp|A6NHL2|TBAL3_HUMAN Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3 PE=1 SV=2	1	5	1	1	10.3	3.8	3.8	49.908	446	446	7							1												0	33.876	3495	7207.5	6299	8927.8	3495	7207.5	6299	8927.8	1	1	1	1	25783000	1				29	6709;9691;19593;30199;39179	False;False;False;True;False	7011;10118;10119;20458;20459;31739;41176;41177	10825;10826;15527;15528;15529;15530;15531;31802;31803;31804;31805;31806;31807;31808;31809;31810;31811;31812;31813;31814;31815;48675;63279;63280;63281;63282	11125;11126;15947;15948;15949;15950;15951;15952;32654;32655;32656;32657;32658;32659;32660;32661;32662;32663;32664;32665;32666;32667;49863;64948;64949;64950;64951;64952	11125;15947;32664;49863;64952	0;1	320;405
A6NHQ2	A6NHQ2	1	1	1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	>sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens GN=FBLL1 PE=3 SV=2	1	1	1	1	3.3	3.3	3.3	34.803	334	334	3			1																0.0081374	1.5472	0	0	0	0	0	0	0	0	0	0	0	0	410670000	1				30	34035	True	35788	54934	56352	56352		
A6NHR9	A6NHR9	30	30	30	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2	1	30	30	30	17.8	17.8	17.8	226.37	2005	2005	9		2	5	4	2		7	2	3	1	1	1	3	5	2	1	1	2	0	184.66	239140	168020	160690	168030	239140	168020	160690	168030	27	27	27	27	3584600000	42				31	1383;5935;6046;7565;7604;10770;11609;12814;13268;13328;15048;15226;16823;18583;19701;20821;20919;21364;21486;22416;22883;23001;23575;28204;28250;30635;30986;31116;34934;37306	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1441;6206;6322;7898;7938;11248;12125;13390;13857;13917;15722;15906;17586;19416;20573;21733;21834;22289;22412;23395;23876;24002;24587;29675;29722;32201;32563;32564;32696;36738;39232	2290;9539;9540;9742;12225;12278;12279;17269;18603;18604;20640;21332;21425;21426;24528;24835;27585;30233;31990;33773;33925;34587;34768;34769;36227;36228;36910;37093;37094;37995;45662;45729;49370;49371;49948;49949;49950;50145;50146;56334;60273;60274	2380;9819;9820;10026;12588;12641;12642;17739;19109;19110;21186;21898;21991;21992;25197;25512;28378;31061;32845;34664;34821;35488;35672;35673;37182;37183;37883;38067;38068;38990;46809;46876;50576;50577;51205;51206;51207;51403;51404;57780;61852;61853	2380;9819;10026;12588;12642;17739;19109;21186;21898;21992;25197;25512;28378;31061;32845;34664;34821;35488;35672;37183;37883;38067;38990;46809;46876;50576;51206;51403;57780;61852	2	1654
A6NHX0	A6NHX0	1	1	1	GATS-like protein 2	GATSL2	>sp|A6NHX0|GATL2_HUMAN GATS-like protein 2 OS=Homo sapiens GN=GATSL2 PE=1 SV=3	1	1	1	1	3.6	3.6	3.6	36.056	329	329	12									2									1	0	12.23	9983	14561	13062	14123	9983	14561	13062	14123	3	3	3	3	134810000	3				32	8792	True	9183	14111;14112;14113	14502;14503;14504	14503		
P0C7V9;A6NJ78	P0C7V9;A6NJ78	1;1	1;1	1;1	Putative methyltransferase-like protein 15P1;Probable methyltransferase-like protein 15	METTL15P1;METTL15	>sp|P0C7V9|ME15P_HUMAN Putative methyltransferase-like protein 15P1 OS=Homo sapiens GN=METTL15P1 PE=5 SV=1;>sp|A6NJ78|MET15_HUMAN Probable methyltransferase-like protein 15 OS=Homo sapiens GN=METTL15 PE=1 SV=1	2	1	1	1	6.4	6.4	6.4	26.715	234	234;407	9									1										0	13.495	11572	7367.9	5870.2	6049.9	11572	7367.9	5870.2	6049.9	1	1	1	1	63445000	1				33	2405	True	2512	3940	4067	4067		
A6NKD9	A6NKD9	3	3	3	Coiled-coil domain-containing protein 85C	CCDC85C	>sp|A6NKD9|CC85C_HUMAN Coiled-coil domain-containing protein 85C OS=Homo sapiens GN=CCDC85C PE=1 SV=1	1	3	3	3	9.3	9.3	9.3	45.209	419	419	6	1						1			1									0	20.8	13850	15423	14157	13421	13850	15423	14157	13421	1	1	1	1	110350000	3				34	13884;21294;22510	True;True;True	14494;22218;23493	22333;34482;36368	22934;35380;37324	22934;35380;37324		
A6NKT7	A6NKT7	28	3	0	RanBP2-like and GRIP domain-containing protein 3	RGPD3	>sp|A6NKT7|RGPD3_HUMAN RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens GN=RGPD3 PE=3 SV=2	1	28	3	0	16.8	2.2	0	197.48	1758	1758	11.7						1								1	1				0	32.588	48877	36692	36435	39883	48877	36692	36435	39883	2	2	2	2	201360000	3				35	3769;8010;9642;9963;10247;10972;14852;14973;15895;16115;16856;18244;18902;20156;20187;20785;20998;21462;21741;26123;30415;31379;31380;32159;32248;34120;38117;38649	False;True;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	3943;8357;10067;10405;10702;11457;15519;15644;16603;16831;17621;19059;19744;21036;21067;21694;21915;22388;22677;27494;31968;32989;32990;33806;33895;35874;40078;40631	6103;6104;12905;15456;15457;15988;16416;17580;17581;24221;24418;24419;24420;25993;26358;27654;29760;30701;30702;30703;32672;32673;32720;32721;33720;33721;34042;34735;35170;35171;42490;42491;49031;49032;49033;50587;50588;51789;51905;51906;55054;61576;62435	6287;6288;13276;15876;15877;16427;16860;18061;18062;24887;25087;25088;25089;26730;27108;28447;30584;31535;31536;31537;33542;33543;33591;33592;34610;34611;34938;35639;36108;36109;43598;43599;50232;50233;50234;51863;51864;53088;53223;53224;56475;63204;64077	6288;13276;15877;16427;16860;18061;24887;25088;26730;27108;28447;30584;31535;33542;33591;34611;34938;35639;36108;43598;50232;51863;51864;53088;53224;56475;63204;64077		
A6NL88	A6NL88	1	1	1	Protein shisa-7	SHISA7	>sp|A6NL88|SHSA7_HUMAN Protein shisa-7 OS=Homo sapiens GN=SHISA7 PE=2 SV=3	1	1	1	1	1.5	1.5	1.5	56.213	538	538	3			1																0.0091875	1.509	875.69	401.14	1206.1	2901	875.69	401.14	1206.1	2901	1	1	1	1	5995700	1				36	14520	True	15166	23535	24185	24185		
