Protein accession	Protein description	Gene name	MW [kDa]	Score	Coverage [%]	Peptides	Unique peptides	PSMs	A	B	C	A/B Ratio	A/B P value
A6NHX0	GATS-like protein 2	GATSL2	36.056	12.23	3.6	1	1	3	0.604	1.295	1.137	0.466	9.48E-02
P0C7V9	Putative methyltransferase-like protein 15P1	METTL15P1	26.715	13.495	6.4	1	1	1	1.301	0.916	0.751	1.42	
A6NKD9	Coiled-coil domain-containing protein 85C	CCDC85C	45.208999999999996	20.8	9.3	3	3	3	0.89	1.095	1.035	0.813	
A6NL88	Protein shisa-7	SHISA7	56.213	1.5090000000000001	1.5	1	1	1	0.984	0.498	1.542	1.976	
A7E2V4	Zinc finger SWIM domain-containing protein 8	ZSWIM8	197.3	27.676	2.0	3	3	5	0.818	1.108	1.103	0.738	1.48E-02
A8CG34	Nuclear envelope pore membrane protein POM 121C	POM121C	125.06	7.8976	3.4	4	4	4	1.066	0.995	1.021	1.071	7.47E-01
A8MPP1	Putative ATP-dependent RNA helicase DDX11-like protein 8	DDX11L8	101.81	3.5365	1.7	2	2	2					
A8MPS7	UPF0249 protein ydjC homolog	YDJC	34.466	9.3083	4.6	1	1	1					
P62308	Small nuclear ribonucleoprotein G	SNRPG	8.496	11.245999999999999	36.8	5	5	10	1.206	0.859	0.959	1.404	1.47E-02
A8MXV4	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	NUDT19	42.233000000000004	2.7495	7.7	2	2	2	0.996	1.009	1.003	0.987	3.69E-01
A9YTQ3	Aryl hydrocarbon receptor repressor	AHRR	76.264	3.2589	1.3	1	1	1					
Q99613	Eukaryotic translation initiation factor 3 subunit C	EIF3C	105.34	107.04	21.8	22	22	38	0.865	1.146	1.04	0.755	1.95E-11
B7ZAP0	Rab GTPase-activating protein 1-like, isoform 10	RABGAP1L	29.038	2.7127	10.3	3	2	4	1.303	0.772	0.898	1.688	8.25E-08
P0CG08	Golgi pH regulator B	GPR89B	52.916000000000004	7.4637	2.4	1	1	2	1.236	0.935	0.805	1.322	
Q13765	Nascent polypeptide-associated complex subunit alpha	NACA	23.384	68.952	27.9	5	5	15	0.925	1.092	1.016	0.847	3.08E-04
E9PRG8		LOC102288414	13.798	10.312999999999999	10.7	1	1	2					
O00115	Deoxyribonuclease-2-alpha	DNASE2	39.58	11.661	9.2	3	3	3	0.985	1.029	0.994	0.957	5.25E-01
O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	72.911	193.07	28.6	12	12	19	1.228	0.863	0.862	1.422	9.55E-09
O00139	Kinesin-like protein KIF2A	KIF2A	79.954	94.15799999999999	15.6	11	11	15	0.993	1.029	0.985	0.965	2.07E-01
O00148	ATP-dependent RNA helicase DDX39A	DDX39A	49.129	110.0	27.9	15	8	11	1.031	0.957	0.969	1.077	1.84E-01
O00151	PDZ and LIM domain protein 1	PDLIM1	36.071	103.59	46.5	14	14	22	0.814	1.108	1.127	0.735	2.16E-12
O00154	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	41.79600000000001	92.249	27.4	8	8	14	0.74	1.078	1.195	0.686	6.16E-07
O00159	Unconventional myosin-Ic	MYO1C	121.68	205.2	29.4	29	29	42	1.124	0.859	0.974	1.309	8.98E-11
O00161	Synaptosomal-associated protein 23	SNAP23	23.354	66.889	41.7	7	7	9	1.126	0.934	0.933	1.206	6.39E-02
O00165	HCLS1-associated protein X-1	HAX1	31.62	32.214	24.7	7	7	9	1.17	0.892	0.968	1.312	5.08E-02
O00170	AH receptor-interacting protein	AIP	37.635999999999996	105.41	45.5	13	13	22	0.838	1.08	1.113	0.776	1.22E-07
O00178	GTP-binding protein 1	GTPBP1	72.453	58.986999999999995	8.7	5	5	7	0.895	0.968	1.12	0.925	1.40E-01
O00186	Syntaxin-binding protein 3	STXBP3	67.764	28.776	16.2	10	10	14	1.069	0.972	1.007	1.1	4.20E-02
O00193	Small acidic protein	SMAP	20.332	28.476	21.3	5	5	11	0.509	1.018	1.181	0.5	3.78E-03
O00194	Ras-related protein Rab-27B	RAB27B	24.608	4.4602	10.1	2	2	3	1.4	0.839	0.718	1.669	
O00203	AP-3 complex subunit beta-1	AP3B1	121.32	38.077	8.8	9	9	12	0.876	1.094	1.036	0.801	1.63E-03
O00217	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	NDUFS8	23.705	25.449	34.8	8	8	12	1.226	0.891	0.886	1.375	4.77E-06
O00221	NF-kappa-B inhibitor epsilon	NFKBIE	52.863	4.3156	4.4	2	2	2					
O00231	26S proteasome non-ATPase regulatory subunit 11	PSMD11	47.463	68.749	28.4	12	12	18	0.881	1.069	1.051	0.824	8.70E-07
O00232	26S proteasome non-ATPase regulatory subunit 12	PSMD12	52.903999999999996	81.465	25.0	12	12	18	0.902	1.0	1.11	0.902	9.87E-03
O00233	26S proteasome non-ATPase regulatory subunit 9	PSMD9	24.682	71.21	36.8	9	9	17	0.784	1.17	1.057	0.67	3.33E-08
O00237	E3 ubiquitin-protein ligase RNF103	RNF103	79.404	-2.0	1.2	1	1	1	1.293	0.792	0.888	1.633	
O00244	Copper transport protein ATOX1	ATOX1	7.4016	1.536	23.5	2	2	2	0.688	1.232	1.124	0.558	
O00255	Menin	MEN1	68.023	1.8993	1.8	1	1	1					
O00264	Membrane-associated progesterone receptor component 1	PGRMC1	21.671	35.259	25.1	8	7	10	1.219	0.941	0.932	1.295	4.35E-02
O00267	Transcription elongation factor SPT5	SUPT5H	121.0	139.22	24.6	22	22	30	0.973	0.954	1.084	1.019	1.54E-01
O00268	Transcription initiation factor TFIID subunit 4	TAF4	110.11	15.274000000000001	1.8	2	2	3					
O00273	DNA fragmentation factor subunit alpha	DFFA	36.521	58.193999999999996	18.4	6	6	10	0.761	1.026	1.202	0.742	1.75E-03
O00291	Huntingtin-interacting protein 1	HIP1	116.22	3.9076	3.0	3	2	2	0.995	1.002	1.011	0.993	
O00299	Chloride intracellular channel protein 1	CLIC1	26.921999999999997	154.76	48.5	10	10	24	0.673	1.218	1.166	0.553	4.24E-13
O00303	Eukaryotic translation initiation factor 3 subunit F	EIF3F	37.563	75.964	27.7	10	10	23	0.796	1.1	1.131	0.724	4.26E-06
O00311	Cell division cycle 7-related protein kinase	CDC7	63.887	2.7059	2.3	1	1	1	0.813	0.84	1.386	0.968	
O00330	Pyruvate dehydrogenase protein X component, mitochondrial	PDHX	54.122	51.222	15.4	7	7	10	1.229	0.908	0.856	1.354	8.50E-04
O00399	Dynactin subunit 6	DCTN6	20.747	18.352999999999998	14.2	2	2	2	0.845	1.139	1.04	0.742	7.98E-02
O00401	Neural Wiskott-Aldrich syndrome protein	WASL	54.826	26.603	15.2	7	7	8	0.865	1.159	1.006	0.747	4.50E-04
O00410	Importin-5	IPO5	123.63	300.08	32.5	29	27	46	0.831	1.027	1.156	0.809	4.69E-09
O00411	DNA-directed RNA polymerase, mitochondrial	POLRMT	138.62	14.356	4.0	5	5	5	1.251	0.895	0.83	1.399	3.56E-02
O00418	Eukaryotic elongation factor 2 kinase	EEF2K	82.14299999999999	35.441	14.2	9	9	10	0.738	1.147	1.129	0.643	1.75E-04
O00422	Histone deacetylase complex subunit SAP18	SAP18	17.561	42.23	47.7	9	9	15	1.143	0.855	0.974	1.337	1.87E-05
O00423	Echinoderm microtubule-associated protein-like 1	EML1	89.86	9.2553	1.5	1	1	1	0.941	1.002	1.073	0.939	
O00425	Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3	63.70399999999999	169.48	36.8	19	15	21	1.07	1.0	0.963	1.07	4.00E-01
O00429	Dynamin-1-like protein	DNM1L	81.876	101.56	23.9	14	14	19	0.827	1.08	1.097	0.766	5.13E-05
O00442	RNA 3-terminal phosphate cyclase	RTCA	39.336	5.0707	8.2	2	2	2	0.785	1.2	1.046	0.654	
O00443	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	PIK3C2A	190.68	19.133	3.1	5	5	5	1.04	1.094	0.851	0.951	3.05E-01
O00458	Interferon-related developmental regulator 1	IFRD1	50.268	22.781999999999996	5.8	2	2	3	0.938	0.873	1.209	1.074	
O00459	Phosphatidylinositol 3-kinase regulatory subunit beta	PIK3R2	81.544	6.1101	4.0	2	2	2	0.863	1.082	1.079	0.798	
O00461	Golgi integral membrane protein 4	GOLIM4	81.87899999999999	101.18	19.1	13	13	25	1.227	0.944	0.807	1.299	4.58E-10
O00468	Agrin	AGRN	217.23	26.709	6.6	13	13	14	1.116	0.97	0.956	1.151	2.79E-02
O00469	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	84.685	8.6057	6.1	4	4	4	1.007	0.956	1.044	1.053	
O00471	Exocyst complex component 5	EXOC5	81.852	33.632	10.6	7	6	7	0.908	1.108	0.968	0.819	4.49E-02
O00479	High mobility group nucleosome-binding domain-containing protein 4	HMGN4	9.5388	3.358	28.9	4	2	2	0.977	1.015	1.019	0.963	
O00483	Cytochrome c oxidase subunit NDUFA4	NDUFA4	9.3697	20.513	55.6	5	5	13	1.319	0.928	0.751	1.421	1.45E-08
O00487	26S proteasome non-ATPase regulatory subunit 14	PSMD14	34.577	37.185	22.9	7	7	11	0.892	1.002	1.066	0.889	3.41E-03
O00488	Zinc finger protein 593	ZNF593	15.199000000000002	9.5543	28.4	2	2	3	1.026	0.744	1.242	1.378	2.96E-02
O00499	Myc box-dependent-interacting protein 1	BIN1	64.699	115.37	24.1	13	13	18	0.788	1.166	1.083	0.677	2.14E-07
O00505	Importin subunit alpha-4	KPNA3	57.81	20.285	12.1	8	3	3	0.99	0.933	1.088	1.061	5.64E-01
O00506	Serine/threonine-protein kinase 25	STK25	48.111000000000004	2.6873	16.4	7	2	2					
O00534	von Willebrand factor A domain-containing protein 5A	VWA5A	86.488	94.65100000000001	20.9	15	15	25	0.868	1.127	1.068	0.77	3.09E-04
O00541	Pescadillo homolog	PES1	68.002	36.385	14.3	9	9	11	1.255	0.939	0.848	1.337	3.80E-05
O00560	Syntenin-1	SDCBP	32.444	10.802	14.1	3	3	5	0.951	0.95	1.16	1.001	7.04E-01
O00562	Membrane-associated phosphatidylinositol transfer protein 1	PITPNM1	134.85	31.115	5.5	5	5	5	1.092	1.024	1.014	1.066	9.41E-01
O00566	U3 small nucleolar ribonucleoprotein protein MPP10	MPHOSPH10	78.863	25.570999999999998	11.7	7	7	8	1.195	0.916	0.719	1.305	7.61E-03
O00567	Nucleolar protein 56	NOP56	66.04899999999999	133.75	31.6	15	15	27	1.258	0.72	0.996	1.748	3.45E-16
O00571	ATP-dependent RNA helicase DDX3X	DDX3X	73.243	177.3	50.9	32	31	59	0.984	1.06	0.988	0.927	1.13E-05
O00592	Podocalyxin	PODXL	58.635	18.229	5.2	3	3	4	1.176	0.864	0.948	1.361	2.97E-03
O00625	Pirin	PIR	32.113	58.92100000000001	33.4	10	10	28	0.738	1.297	1.01	0.569	8.62E-19
O00629	Importin subunit alpha-3	KPNA4	57.886	17.172	8.6	6	1	1	1.05	1.123	0.824	0.935	
O00712	Nuclear factor 1 B-type	NFIB	47.441	1.8344	4.3	2	1	1					
O00743	Serine/threonine-protein phosphatase 6 catalytic subunit	PPP6C	35.144	21.191	22.0	6	6	8	0.716	1.037	1.135	0.69	2.96E-02
O00748	Cocaine esterase	CES2	61.806000000000004	7.6817	2.1	1	1	1	1.046	1.069	0.884	0.978	
O00750	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	PIK3C2B	184.77	17.824	3.0	5	5	5	0.871	1.206	0.934	0.722	2.07E-04
O00754	Lysosomal alpha-mannosidase	MAN2B1	113.74	32.493	6.5	6	6	8	1.147	1.02	0.82	1.125	1.73E-01
O00762	Ubiquitin-conjugating enzyme E2 C	UBE2C	19.652	26.55	44.7	6	6	7	0.661	1.113	1.267	0.594	4.92E-04
O00764	Pyridoxal kinase	PDXK	35.102	94.255	32.7	10	10	17	0.819	1.151	1.152	0.712	1.97E-05
O00767	Acyl-CoA desaturase	SCD	41.522	16.031	4.2	2	2	4	1.296	1.02	0.65	1.271	2.42E-01
O14495	Lipid phosphate phosphohydrolase 3	PPAP2B	35.116	14.116	7.4	2	2	2	1.391	0.979	0.584	1.421	
O14497	AT-rich interactive domain-containing protein 1A	ARID1A	242.04	59.898	5.6	10	10	10	1.007	0.936	1.064	1.076	3.79E-01
O14530	Thioredoxin domain-containing protein 9	TXNDC9	26.534000000000002	5.0367	13.7	3	3	3	0.808	1.088	1.136	0.743	2.62E-01
O14545	TRAF-type zinc finger domain-containing protein 1	TRAFD1	64.84	9.7525	7.7	4	4	7	0.803	1.127	1.101	0.713	7.45E-02
O14548	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	COX7A2L	12.615	14.432	18.4	2	2	4	1.316	0.833	0.798	1.58	7.64E-04
O14561	Acyl carrier protein, mitochondrial	NDUFAB1	17.417	20.659000000000002	15.4	2	2	4	1.291	0.94	0.698	1.373	2.45E-03
O14562	Ubiquitin domain-containing protein UBFD1	UBFD1	33.382	1.874	3.6	1	1	2	0.896	1.132	0.99	0.792	
O14578	Citron Rho-interacting kinase	CIT	231.43	104.64	10.2	19	19	23	0.984	0.89	1.12	1.106	2.59E-04
O14579	Coatomer subunit epsilon	COPE	34.482	92.698	34.7	13	13	20	0.88	1.05	1.068	0.838	7.28E-05
O14593	DNA-binding protein RFXANK	RFXANK	28.101999999999997	3.0768	9.2	2	2	2					
O14617	AP-3 complex subunit delta-1	AP3D1	130.16	33.007	9.2	8	8	11	0.907	1.086	1.057	0.835	5.85E-04
O14618	Copper chaperone for superoxide dismutase	CCS	29.04	29.934	28.1	8	8	9	0.776	1.045	1.239	0.742	3.64E-03
O14639	Actin-binding LIM protein 1	ABLIM1	87.68700000000001	49.625	12.9	9	9	14	0.975	1.035	0.893	0.942	7.15E-01
O14640	Segment polarity protein dishevelled homolog DVL-1	DVL1	75.186	3.2582	3.6	3	1	1					
O14641	Segment polarity protein dishevelled homolog DVL-2	DVL2	78.947	42.153	13.5	8	6	7	0.867	1.212	1.018	0.715	3.82E-02
O14646	Chromodomain-helicase-DNA-binding protein 1	CHD1	196.69	28.151	4.0	5	4	4	1.089	0.964	0.943	1.13	5.80E-02
O14647	Chromodomain-helicase-DNA-binding protein 2	CHD2	211.34	41.211000000000006	3.3	5	4	4	1.108	0.896	0.991	1.237	
O14653	Golgi SNAP receptor complex member 2	GOSR2	24.775	5.3998	10.4	2	2	2	1.061	0.857	1.085	1.238	
O14656	Torsin-1A	TOR1A	37.808	14.100999999999999	10.8	3	3	5	1.146	0.93	0.921	1.232	1.08E-02
O14662	Syntaxin-16	STX16	37.031	17.522000000000002	11.4	3	3	4	1.069	0.925	0.986	1.156	4.57E-02
O14672	Disintegrin and metalloproteinase domain-containing protein 10	ADAM10	84.141	11.627	4.8	3	3	3	1.086	0.826	1.089	1.316	3.05E-02
O14681	Etoposide-induced protein 2.4 homolog	EI24	38.964	4.3505	6.5	2	2	2	1.126	0.82	1.049	1.373	
O14684	Prostaglandin E synthase	PTGES	17.102	6.1135	11.8	2	2	6	1.319	0.838	0.826	1.574	2.16E-04
O14686	Histone-lysine N-methyltransferase 2D	KMT2D	593.38	10.978	0.5	3	3	3	1.09	0.921	1.016	1.183	1.93E-01
O14732	Inositol monophosphatase 2	IMPA2	31.320999999999998	14.102	15.6	5	5	6	0.706	1.228	1.118	0.575	1.01E-04
O14734	Acyl-coenzyme A thioesterase 8	ACOT8	35.914	2.3494	7.8	2	2	2					
O14737	Programmed cell death protein 5	PDCD5	14.285	32.595	50.4	7	7	12	0.786	1.124	1.133	0.699	1.40E-03
O14744	Protein arginine N-methyltransferase 5	PRMT5	72.683	23.026	13.5	8	8	15	0.898	1.019	1.107	0.881	2.49E-01
O14745	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	SLC9A3R1	38.868	88.96	30.4	11	11	17	0.89	1.14	0.942	0.781	5.19E-07
O14757	Serine/threonine-protein kinase Chk1	CHEK1	54.433	10.448	9.9	5	5	5	0.816	0.978	1.24	0.833	3.38E-01
O14772	Fucose-1-phosphate guanylyltransferase	FPGT	66.598	4.2585	2.0	1	1	1					
O14773	Tripeptidyl-peptidase 1	TPP1	61.247	78.744	12.4	6	6	10	1.028	1.006	0.959	1.022	3.66E-02
O14776	Transcription elongation regulator 1	TCERG1	123.9	104.12	17.1	22	22	32	1.076	0.991	0.954	1.086	8.01E-03
O14777	Kinetochore protein NDC80 homolog	NDC80	73.91199999999999	7.7595	6.2	4	4	4	0.881	0.99	1.154	0.889	1.70E-02
O14787	Transportin-2	TNPO2	101.39	8.5755	7.6	8	2	3	0.742	1.008	1.293	0.736	1.24E-02
O14802	DNA-directed RNA polymerase III subunit RPC1	POLR3A	155.64	17.908	6.0	7	7	7	1.1	0.964	0.963	1.141	5.33E-02
O14818	Proteasome subunit alpha type-7	PSMA7	27.886999999999997	81.782	50.0	11	11	25	0.813	1.123	1.088	0.724	1.47E-06
O14828	Secretory carrier-associated membrane protein 3	SCAMP3	38.287	70.507	23.3	6	6	9	1.132	0.99	0.874	1.144	1.15E-01
O14832	Phytanoyl-CoA dioxygenase, peroxisomal	PHYH	38.538000000000004	6.6839	7.7	3	3	3	1.017	0.943	1.046	1.078	
O14841	5-oxoprolinase	OPLAH	137.46	137.12	17.7	17	17	19	0.785	1.153	1.054	0.681	2.65E-05
O14867	Transcription regulator protein BACH1	BACH1	81.95700000000001	5.1687	4.6	3	3	3	1.201	0.891	0.891	1.348	
O14879	Interferon-induced protein with tetratricopeptide repeats 3	IFIT3	55.983999999999995	4.7153	2.7	1	1	1					
O14893	Gem-associated protein 2	GEMIN2	31.585	12.169	4.3	1	1	1	0.972	1.009	1.031	0.963	
O14907	Tax1-binding protein 3	TAX1BP3	13.735	38.211	51.6	5	5	6	0.791	0.99	1.23	0.799	8.05E-02
O14908	PDZ domain-containing protein GIPC1	GIPC1	36.049	86.266	21.0	7	6	11	0.865	1.114	0.938	0.776	3.36E-04
Q9NUP9	Protein lin-7 homolog C	LIN7C	21.834	3.3309	8.6	2	2	2	1.137	0.973	0.88	1.169	
O14920	Inhibitor of nuclear factor kappa-B kinase subunit beta	IKBKB	86.56299999999999	29.213	8.5	6	6	7	0.791	1.069	1.156	0.74	1.02E-04
O14925	Mitochondrial import inner membrane translocase subunit Tim23	TIMM23	21.943	34.772	27.8	4	4	7	1.149	0.943	0.895	1.218	1.70E-03
O14929	Histone acetyltransferase type B catalytic subunit	HAT1	49.512	44.652	15.8	7	7	11	0.893	0.99	1.168	0.902	1.16E-01
O14936	Peripheral plasma membrane protein CASK	CASK	105.12	26.951	5.9	5	5	5	1.16	0.89	0.938	1.304	1.10E-02
O14949	Cytochrome b-c1 complex subunit 8	UQCRQ	9.9062	17.131	37.8	4	4	4	1.251	0.932	0.793	1.342	2.18E-01
P19105	Myosin regulatory light chain 12A	MYL12A	19.794	50.126999999999995	49.1	7	7	11	0.938	1.112	0.954	0.843	1.15E-04
O14964	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	86.191	13.743	6.8	6	6	7	1.06	0.968	0.956	1.094	1.55E-02
O14965	Aurora kinase A	AURKA	45.809	37.617	16.6	5	5	6	0.776	0.794	1.474	0.977	4.01E-01
O14974	Protein phosphatase 1 regulatory subunit 12A	PPP1R12A	115.28	76.188	15.6	14	14	18	0.972	0.988	1.059	0.983	7.07E-01
O14975	Very long-chain acyl-CoA synthetase	SLC27A2	70.311	12.492	4.5	3	3	6	1.279	0.918	0.773	1.393	1.13E-02
O14976	Cyclin-G-associated kinase	GAK	143.19	15.107000000000001	2.4	3	3	3					
O14979	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	46.437	97.84200000000001	27.4	14	13	24	1.15	0.907	0.877	1.268	8.76E-03
O14980	Exportin-1	XPO1	123.38	207.27	22.8	23	23	42	0.874	1.066	1.097	0.82	1.21E-09
O14981	TATA-binding protein-associated factor 172	BTAF1	206.89	32.897	5.4	10	10	11	0.876	1.05	1.048	0.835	3.99E-01
O15013	Rho guanine nucleotide exchange factor 10	ARHGEF10	151.61	49.787	7.2	8	8	8	0.95	1.025	0.994	0.927	5.00E-02
O15020	Spectrin beta chain, non-erythrocytic 2	SPTBN2	271.32	183.6	20.2	44	38	44	1.079	0.93	1.028	1.16	5.00E-05
O15027	Protein transport protein Sec16A	SEC16A	233.51	113.59	12.8	25	25	30	1.005	1.016	0.983	0.989	8.08E-01
O15031	Plexin-B2	PLXNB2	205.12	85.38	10.9	17	17	19	1.084	0.932	0.976	1.163	1.79E-02
O15040	Tectonin beta-propeller repeat-containing protein 2	TECPR2	153.85	2.6466	0.7	1	1	1	0.74	0.539	1.777	1.373	
O15042	U2 snRNP-associated SURP motif-containing protein	U2SURP	118.29	71.807	19.2	19	19	21	1.126	0.972	0.972	1.158	5.81E-05
O15061	Synemin	SYNM	172.77	17.37	4.0	6	6	6	1.1	0.848	1.11	1.297	9.43E-03
O15066	Kinesin-like protein KIF3B	KIF3B	85.124	8.004	3.7	3	3	4	0.923	1.068	1.025	0.864	
O15067	Phosphoribosylformylglycinamidine synthase	PFAS	144.73	85.26299999999999	18.3	21	21	34	0.732	1.148	1.128	0.637	5.46E-06
O15085	Rho guanine nucleotide exchange factor 11	ARHGEF11	167.7	2.8085	0.6	1	1	4	0.9	1.163	0.952	0.774	1.11E-01
O15091	Mitochondrial ribonuclease P protein 3	KIAA0391	67.315	8.9827	2.7	1	1	1					
O15118	Niemann-Pick C1 protein	NPC1	142.17	30.654	5.4	5	5	8	1.13	0.99	0.91	1.141	2.47E-03
O15126	Secretory carrier-associated membrane protein 1	SCAMP1	37.92	20.581	14.2	4	4	6	1.101	0.942	0.952	1.169	
O15127	Secretory carrier-associated membrane protein 2	SCAMP2	36.648	33.58	13.7	3	3	4	1.088	0.933	0.976	1.166	1.38E-01
O15143	Actin-related protein 2/3 complex subunit 1B	ARPC1B	40.949	27.499000000000002	24.5	9	9	12	0.942	1.066	1.014	0.884	2.32E-03
O15144	Actin-related protein 2/3 complex subunit 2	ARPC2	34.333	31.385	35.0	11	11	16	0.826	0.995	1.166	0.83	7.78E-04
O15145	Actin-related protein 2/3 complex subunit 3	ARPC3	20.546	8.702	25.3	5	5	5	0.848	1.078	1.1	0.787	3.77E-01
O15155	BET1 homolog	BET1	13.289000000000001	5.5578	21.2	2	2	3					
O15156	Zinc finger and BTB domain-containing protein 7B	ZBTB7B	58.026	2.8680000000000003	3.2	2	2	2					
O15160	DNA-directed RNA polymerases I and III subunit RPAC1	POLR1C	39.249	34.719	18.5	6	6	11	1.02	1.004	0.982	1.016	7.11E-01
O15162	Phospholipid scramblase 1	PLSCR1	35.049	17.782	7.2	2	2	2	1.04	0.905	1.058	1.15	7.75E-02
O15164	Transcription intermediary factor 1-alpha	TRIM24	116.83	11.350999999999999	4.3	5	4	4	1.111	0.948	0.935	1.172	
O15173	Membrane-associated progesterone receptor component 2	PGRMC2	23.818	5.1281	17.9	5	4	5	1.236	0.94	0.8	1.314	1.14E-02
O15212	Prefoldin subunit 6	PFDN6	14.582	32.801	34.9	8	8	14	0.757	1.12	1.131	0.676	4.38E-08
O15213	WD repeat-containing protein 46	WDR46	68.07	6.4177	4.6	3	3	3	1.59	0.892	0.447	1.784	4.07E-03
O15226	NF-kappa-B-repressing factor	NKRF	77.672	17.797	10.3	7	7	7	1.164	0.89	0.856	1.308	5.33E-04
